7fb1,7f5d,80ac
7fe3,7ef5,7d48
7e52,811a,7851
7da7,82a8,76e4
7caa,8186,7dc3
7e40,7bb1,8325
7fc6,7944,81b8
7f41,7a2d,8188
8100,7bff,7ef1
8023,8101,77c6
7ba7,884d,7732
7d31,86bf,7c2e
7c21,836a,80c2
7e0b,80af,85b9
8059,7b27,8a51
7ef7,76fc,8810
80c9,7a97,803a
7f99,7e2c,7c69
7d16,81ac,78be
7d5c,82a5,76b6
7d86,822a,7d2d
7fcd,7c03,82fc
80f1,7974,8182
7f46,7aa8,818e
80a3,7c35,7f02
7e90,81cf,77e0
7b0e,891d,76b1
7d8c,878c,7c06
7e4f,83aa,7fda
7f75,804f,84dd
800c,79d4,8a97
7f0a,764b,8832
804c,795d,8104
8073,7de2,7d70
7bbf,81db,792a
7cf4,82f7,7759
7cbf,8237,7ddd
80e2,7bf8,828b
8282,7a1c,8156
7f64,7b1d,8160
7fe8,7bd4,7ee7
7ffb,819e,77ad
7cde,87c6,7705
7d61,863a,7b98
7daf,82eb,7f99
7e95,7f13,851e
8026,7aa5,8aa8
7f85,770c,87ba
80e6,7ac8,814d
7ed6,7e5a,7cfa
7de6,8062,79ba
7ff3,821c,771a
7efa,81d0,7df5
7fd1,7c74,834c
820c,79dc,81d8
810b,7ac8,80d7
7f94,7c19,7f6b
7e09,8107,78ad
7ca9,883f,7777
7d75,8702,7c6e
7c3f,83a6,7fd7
7ddf,8032,847f
80cb,7a83,8964
81fb,7763,8742
806b,7a86,804f
7d37,7e43,7c99
7d0e,80fe,79ec
7d4f,8315,7790
7d60,823d,7c96
7f3f,7c82,828a
804d,7986,8205
81c7,7a47,816a
819d,7bd0,7e8e
7dda,8031,77b8
7cdc,87b7,7621
7e28,8709,7b3d
7c71,8398,7f7d
7c83,7fed,8551
7f4c,7a1d,8a38
7f77,7790,87e3
81c8,79fa,812f
7e16,7e5e,7d35
7cc0,808d,79ce
7e72,82f9,7721
7c60,838f,7cdd
7dfb,7d10,829f
7fad,79f2,81d0
7ffb,7b05,81cd
8247,7c4a,7f77
8006,80f8,7888
7e74,86f4,76ed
7eaf,8676,7c29
7d35,8395,7fdf
7d4b,7fda,8484
7dae,7b38,8a21
7eb0,76b4,8846
81b3,791d,80ab
802f,7dbf,7d1e
7d10,8157,79ec
7ea3,833e,779e
7eeb,8266,7de5
7fe1,7cf4,8267
8097,79e6,8175
800e,7b2d,81da
81d6,7c54,7efb
8058,7ff7,78b1
7b12,8745,765e
7c27,8624,7c06
7a5c,830c,7fa9
7d01,8035,8534
80a4,7ab8,8a69
7e6e,77cc,877a
8137,7a74,80fe
80c5,7dc9,7d46
7d6e,8055,78fc
7d9e,83a0,7739
7d27,8317,7dc8
7ed4,7c85,82cb
8023,7a16,81ce
7ff7,7b57,8163
8043,7b9a,7ed6
808e,802f,77e5
7d76,87bb,766c
7c93,8736,7c3b
7be5,8400,7fd7
7ea3,8028,8505
80d9,7afa,8ae2
7ec7,7770,875f
7fca,7a53,801d
7ff7,7dd9,7d14
7f0d,8067,7a0b
807c,8272,777e
7e74,8244,7ce2
7e3e,7d19,8274
8047,7ac7,820e
804b,7b22,81bb
82b3,7b66,7ed1
80ba,809b,783a
7deb,8720,7791
7d26,86e0,7b6c
7d34,849d,7f44
7e2d,8032,84ff
80ff,7a90,8a91
7f23,763d,876b
805f,7a1d,80d5
7e40,7dd6,7d28
7c42,8134,7993
7e6b,83c7,76e0
7ceb,829c,7c42
7e4a,7c9f,82ba
8056,7948,81e9
7fcb,7af5,824c
808c,7cba,7fcf
7f41,8030,77d2
7b53,87b3,765e
7b2e,8748,7be1
7cec,8345,7f99
7d8d,7f2d,84ee
8057,7aa6,8af8
7ff6,77ab,87fa
81be,7ab9,80cb
7fb3,7dfd,7d6b
7d3b,8060,79d1
803d,81d8,76bf
7de2,81f3,7cf5
7db4,7c90,8264
8003,7a18,80fa
80a4,7ae5,811f
8340,7ce3,7ff5
8004,80ac,780f
7cc9,87bc,76b0
7c46,869e,7bfb
7c48,82f6,7ff5
7dc3,7f5b,8475
7eb8,7a99,8a5c
7e1b,77c5,881a
7fdc,7a8f,8105
7e2a,7e2c,7def
7e12,80fa,7967
7f64,8270,7744
7d50,829c,7ceb
7f22,7c45,82aa
80d4,79c2,81cb
8195,7ae8,8166
81b2,7cc3,7edf
7de3,8113,78d5
7cc1,86a5,7689
7edd,8611,7bb9
7df1,8343,7fd6
7e85,7f18,848f
8073,79c2,89b1
8127,7715,87fa
8071,7aad,80cf
7ef3,7f59,7cf3
7cc2,81bc,798c
7d55,824d,7706
7d77,82a3,7cb9
7eb8,7c4b,8288
7fd5,799e,8174
807c,7acb,8104
80a9,7ca9,7f85
7fd4,81bd,783b
7d68,876e,7773
7cd9,86d2,7ba3
7c79,82ea,8036
7e58,7f3b,8529
7f60,7aec,8a50
7f69,77b7,8865
8104,7b17,80fa
7eca,7ec2,7da8
7d44,80a3,79d9
7d13,82ac,76b8
7ccc,8226,7bbb
8052,7bcb,8231
80ea,79f6,831a
8054,7b39,8170
813b,7bd3,7f3a
7eee,8080,781b
7cf2,8858,7789
7e45,8795,7bd5
7cbf,82e7,7fdc
7d24,8018,8451
8027,7af2,89f2
7efd,7721,87fc
8082,7ab5,8025
80b2,7eac,7d4f
7d6a,80b4,7977
7e84,81ec,76e0
7dd0,81df,7cb3
7f2a,7cce,82b1
7fd5,7b35,820b
7e84,7c1f,8190
7fed,7cc4,7f1a
7ffd,813f,7890
7cbf,87f1,772f
7dcc,8712,7cbc
7d0f,8404,8043
7f23,7fd2,84d6
7f67,79b5,89d5
7f31,76bf,8798
82e2,798f,80d5
7fa6,7da2,7c8e
7bf0,7f9d,7986
7e0a,8132,7652
7d92,8253,7c6d
7d70,7d2e,827b
8011,7b09,8203
7f99,7b67,822c
82ef,7c30,7fd2
8052,8097,7744
7d3d,885d,7655
7dd1,8704,7c66
7e04,8436,7ff3
7eb7,7f04,8524
8029,7966,8b5c
800c,7544,87f3
7ebd,7813,80a5
7e8c,7d46,7cf3
7e20,8023,798c
7e41,8350,7720
7c7b,841c,7ccb
7f0d,7d06,82b8
8030,79ec,8261
7eb5,7ae2,8198
814c,7c5c,7fe5
7dda,8187,789e
7e09,8832,7658
7e28,8839,7b2d
7b41,84e8,7f9c
7d42,7fc7,849a
80ca,7a74,8ad1
8055,75f5,883d
8117,79d9,80c6
811f,7dba,7d02
7e93,8154,79d5
7dcc,8381,76b3
7ce2,8357,7cd1
7eb5,7d0f,8228
810c,79bc,81d5
800a,7b06,81d4
813b,7b72,7fce
7e92,8097,7829
7c81,87e9,76a1
7dc1,8719,7bac
7e20,83f6,7f42
7f3a,7f5e,8477
7f47,7a0a,8ad8
7e7e,770f,885b
7fec,796d,80f7
7f00,7d51,7d6a
7dbc,80f6,79cc
7e2f,839e,7696
7be3,830c,7ce8
7dbb,7d65,820c
8179,7aa4,8181
8189,79c3,818d
801e,7b5a,7f25
7e5e,8069,784b
7c47,8744,7710
7e64,8726,7b54
7d8d,83c7,7f9e
7ea2,7f8d,84e3
7ea3,79dd,8a90
7f35,765b,8895
81ba,79a2,8121
7ef7,7e7e,7db5
7f63,81bd,7960
7f61,83c1,76c8
7ce3,831e,7bea
7e6c,7cdd,828a
8044,7aea,817a
8167,7b14,81fd
80f4,7c0b,7f8b
7f2a,8059,78ea
7b1d,88b0,7687
7d7d,87d9,7b8b
7cac,8439,805a
7e07,7f85,84f3
7f30,7a7f,8a95
7fc8,7652,8820
812c,79cc,81b7
7fa4,7d99,7cc4
7ef5,803c,7964
7e67,824b,76cf
7d1e,82cf,7c96
7eb0,7cbb,8227
827d,79f3,816f
7fda,7b1c,810b
8000,7cfd,7fb3
7e7d,81a9,78b1
7d4d,875c,770a
7d2a,863c,7b89
7d36,8326,7fbe
7d66,7f4d,84a3
7ec4,7a93,8a42
7dbb,767d,8880
7f8a,79e2,8087
8101,7d7c,7d2f
7e90,7f98,7945
7f46,82f7,7658
7dc7,83a7,7c3a
7f6c,7da9,824a
80fc,7ad5,8246
7e8b,7b9f,8238
80a2,7c1d,7fda
80af,8021,78cd
7d2e,8747,76bd
7d08,8796,7bc7
7d02,83ea,7f9d
7eb2,803d,83df
801e,7a69,8a6b
7e8c,7579,8915
8055,781a,8169
7fae,7c3b,7cdc
7d0f,8058,7923
7dbe,8457,76b2
7d50,848e,7c63
7fe6,7d8a,8279
808d,7aa8,8220
803a,7b79,811f
814d,7c7a,7fb1
7f28,80c9,78cb
7d20,87b8,75ed
7c72,8699,7bc3
7ca1,82f7,8013
7e36,8010,84c2
80e7,7aeb,8a91
7fd7,7686,88cc
812a,7882,80ff
7ebd,7c63,7d47
7e5a,7f59,78f3
7ecf,8318,76b8
7cff,8465,7c96
7df3,7da9,8273
801e,7aa6,81d6
8028,7b0b,8170
80fa,7c8f,7ff5
8014,8148,7871
7d1e,86f8,765d
7d53,8736,7c89
7c11,83e4,7fc9
7dc2,7fd9,8468
7e68,7b71,8afc
7fb7,7613,8872
8084,78bd,8112
7ee6,7c95,7cb3
7ed5,7ff1,793f
7e34,8302,7652
7bdb,8320,7bcd
7e76,7cfb,8220
80be,7b09,822d
817a,7c38,81fa
81c6,7c61,8003
7f42,8066,7898
7dfc,87ce,772d
7ec8,87b2,7c29
7e52,84d1,802e
7d7f,804e,83ee
7e49,7aed,8af6
8082,757f,88ba
80de,7854,80ef
7dab,7d5a,7ccb
7d06,7f27,78af
7e34,8206,760b
7c55,82c8,7c78
7f6d,7de1,81f4
835d,7b1b,8282
8108,7b35,8154
81bc,7bfa,7ff0
7ee2,8131,78c8
7c9c,8775,7634
7ebb,881c,7bc5
7cf3,8401,7fbb
7c18,7f75,847c
7dda,79f8,89a3
815d,752f,88aa
80af,787d,818f
7ea5,7d4c,7d56
7e07,80ce,79b5
7e1e,8400,76f7
7cf7,8434,7b39
7e94,7cf6,81e0
7f6c,7a60,816f
7f63,7b66,8241
808c,7c79,8056
7e25,809a,786c
7c92,876c,76bc
7da3,8757,7bf7
7d61,83a3,8055
7f0e,806b,8526
80f2,7ae3,8a3d
7f50,7609,8803
8099,7976,8154
7f5d,7d1e,7d3c
7e1e,7fad,7928
7ef2,832c,75e0
7d01,8404,7bab
7fde,7e1b,827e
81e0,7b00,81a7
7fdb,7b01,819d
8172,7b95,8026
7ef0,8056,7914
7c4e,86ed,76c7
7c4e,863d,7c21
7c70,8427,802d
7c95,7fdf,844e
7eb0,79ff,8a29
7e10,7655,8822
8051,78a5,8058
7e92,7de2,7cff
7e42,8150,7935
7ef7,8369,76d7
7e92,82f6,7c41
7f7f,7d26,8232
80d0,7b0e,8167
822b,7ba2,8201
820d,7bbb,8032
7f15,802d,79fe
7b91,8795,7764
7d8e,875f,7b57
7ccf,848d,7f7e
7e5f,80f6,85c5
8080,7b23,8a9e
8070,751d,88bb
8216,77e3,806b
7fa4,7cae,7d16
7d4c,7feb,792b
7c3c,8288,7641
7c92,829e,7b3b
7e54,7d48,8191
807f,7b27,825f
800d,7b26,8242
8099,7bbe,803a
7f3d,8075,78b2
7df4,871c,767d
7ecc,8740,7bdc
7e3b,8443,7f78
7e91,8093,851f
7e05,7bf8,8abf
7e5b,760d,88a9
8027,7894,80da
7e24,7d1d,7cc2
7d94,7ff2,7a48
7e71,82a9,7607
7b2a,83ca,7bfb
7d11,7f5c,81b7
8084,7c41,82c9
7f1c,7a6f,81be
8048,7ae2,8061
7faf,809e,7915
7ebf,8763,7605
7f14,86d8,7b20
7cef,84b5,7f66
7e99,80c0,84a6
8177,7b31,8a41
7f87,752f,8997
7f1c,784f,80e3
7f02,7daa,7cfd
7ef9,7faf,7912
7ee4,8290,7696
7cd2,8432,7b14
7e4e,7f02,81ca
8032,7b1d,82d1
8037,7b79,8211
8283,7bac,80aa
8028,7faa,7987
7f1a,8712,768d
7e9e,874d,7b7f
7d4e,83f3,7f05
7c8c,807f,8410
7e8c,7a62,8a69
8017,75cc,898d
8152,7940,8137
7f20,7d4b,7c9d
7d40,7f3a,792f
7d85,8206,76b4
7d03,83e4,7af5
7e13,7df7,8235
7f49,7b36,81a3
7f05,7bc3,8295
8195,7bbb,8099
7ee7,8040,7896
7cf9,8779,76b2
7e17,874f,7c0c
7e57,8355,7f58
7d99,7fc4,84bb
7dee,7ac6,8a90
7f65,765f,8925
818d,78f2,8149
80ca,7d84,7d91
7e81,806f,791a
7f5f,82cd,760b
7d41,8379,7b6a
7cfb,7c95,8214
8121,7aa2,81b4
813e,7b29,820f
8192,7c7b,80b4
7fb1,80d0,7922
7d38,87cc,7683
7dec,8853,7bd5
7e11,8326,7ee4
7cf6,7fb6,840a
7dd8,7aed,8a93
7f3c,769d,8947
8023,78cf,8148
7de8,8101,7c91
7d44,84e9,7942
7eb4,83d4,7785
7e48,7f48,7b60
7dda,767c,8183
7f48,74b0,821a
7f11,79e7,8191
8236,7fdb,809e
80bf,86c7,7934
7dc2,8c22,768a
7e0b,8818,7bf9
7da0,7fe0,7f4a
7db0,7907,83ad
8078,759d,8ab8
80b2,752e,8970
811d,7d08,80ae
802f,839e,7d1c
7d67,8558,793c
7e51,83b8,7686
7c2e,7f3e,7b73
7cf0,773a,821b
8030,7639,8280
7ff4,7aea,81d1
81b8,8037,805b
7fec,8683,796e
7b98,8d23,7776
7c0b,894a,7b76
7c7a,80ba,7f18
7e34,78b2,8403
7ff3,7496,8a52
7f84,753b,88ca
817b,7d1c,8169
813b,8431,7d59
7ee4,85d8,7941
7da1,83d2,762a
7b07,7e9a,7b37
7d32,7596,8215
7f73,7521,82db
807c,7ac0,826a
828d,80e4,80d2
802e,87ce,797b
7d48,8ca8,7638
7d95,875e,7b01
7cd8,7f39,7f8f
7def,7900,83f2
7f0a,74f8,8a54
7d4a,75a7,8955
7f27,7cfb,81bd
7f76,8476,7d35
7cbf,8630,78a4
7faf,840e,75e4
7e7d,8047,7b75
7fa4,7771,8201
8005,75a4,81ce
8104,79dc,81c9
813e,7f9f,80a1
7f4a,878a,79a5
7d8e,8c8c,76c9
7e90,88af,7b2f
7dc6,801b,7fc5
7e8d,799f,8498
7e43,75d3,8a95
7f09,749e,8851
7fe5,7c91,80a4
7f45,84a9,7d43
7dab,8515,799c
803a,8378,766a
7f99,7f1e,7afb
7d6b,76e3,819d
7ef9,7516,81ae
8004,7a3d,827d
80f2,8010,805f
7f7c,86f6,798e
7d59,8d0c,7739
7df6,889e,7af9
7cd4,8016,802c
7d5d,79dc,84ac
7f6d,751c,8ade
7e2c,7440,893d
8072,7c7c,8156
80c1,8329,7d29
7fcb,8598,7977
7ef8,84d1,753f
7ca8,806f,7aa2
7f72,7807,8184
7fb4,7593,81a7
7fb0,79e1,8247
803a,7f57,813d
7e67,86b3,796c
7c68,8be7,7694
7dd5,888d,7b5b
7dee,80d4,7f62
7db7,7a71,844b
7ec5,7562,8a55
7fb1,7487,8924
8107,7c01,81cd
7f03,8391,7d98
7d33,857d,7962
7e9e,84c5,7618
7c06,8069,7aae
7deb,781a,81ae
7ec8,75ed,8218
80f2,7a15,81d2
8301,7f11,803d
802e,8503,7a2b
7d46,8c38,7761
7e2b,8802,7b69
7ca3,8098,7f23
7cc5,7b1d,8412
8039,769d,8a54
804b,74b5,8977
801f,7b60,81c9
7f0a,82f8,7d5c
7e85,8430,79c0
7f60,83ef,75c8
7e2e,8097,7a7d
7cff,7837,81cf
7e60,76b1,81e4
7fa7,799b,8187
80fb,7ed3,8058
80f3,85d0,7a2f
7d42,8bb7,76b7
7db6,889f,7b3b
7c38,8080,801e
7d21,7a0c,8509
7fef,75e6,8a3a
803f,74a6,88b5
814f,7ac7,817e
7e11,8292,7d7f
7bf7,84fc,7919
7e04,843e,75eb
7d69,804d,7b31
7ed7,777f,81bc
8009,7529,812d
810b,7a01,81e7
823a,7ef4,810e
800f,86c9,79a4
7d22,8d05,7765
7caf,8918,7b9d
7d9e,8151,7fe5
7eb9,7aa5,83fb
7fa7,761f,89d9
8001,74e0,88b8
806b,7be7,82a4
7f27,832e,7d6e
7da7,84d2,7928
7eb4,8498,7587
7cc9,81ba,7b78
7e2a,785e,81e8
8125,768a,81bf
8215,7913,81de
819f,7e2d,80f2
7fd6,8628,7992
7c63,8c2d,75f9
7d0c,88e3,7bbe
7c52,8153,7f85
7d99,7b10,83b4
7f3c,75f6,8a9d
817d,7435,897b
81b2,7bf2,81a4
7f65,8390,7d98
7e31,8463,7945
7e6c,8396,75e1
7c4e,806a,7a48
7e77,772d,81c6
811c,7523,8246
8001,79f0,8201
822e,7f3a,803a
80d9,8623,795e
7dad,8c12,7628
7ce6,8917,7bb9
7c58,816f,7fd4
7c64,7b67,847a
7f72,764d,8a15
80d2,750a,8901
819d,7bfe,8118
7eab,8314,7d28
7dc9,84d0,7984
7e84,84ae,7524
7b9c,7ff1,7a4f
7cfa,777d,82c2
7fe1,761c,8273
7ffc,7a3c,828b
8034,7f69,80f0
7e7c,8630,79c0
7d16,8b97,763b
7ed3,87c0,7ad6
7d22,807d,7fe8
7e51,7a76,843d
7f4e,7670,8ac9
7f89,744d,892e
822f,7aa3,824c
7ff6,838f,7d8f
7e33,854e,78c8
7ee5,84a9,74f2
7bfc,806e,7ab4
7ce5,7810,81cf
7f03,75ed,8246
7fd2,797d,82ae
8119,7f6f,80f6
8007,8609,7a36
7e30,8bb2,770e
7f18,8880,7af1
7db5,811a,7e90
7da7,7ac0,83ed
7ea6,7716,8aab
8025,7555,895e
816d,78d9,81d8
807f,7db4,7d76
7d67,80b3,7954
7da3,83e0,74fc
7cbb,8585,7a5c
7df6,7fba,8227
80f1,7c81,8296
80d7,7ba9,825f
836c,7b63,812a
809f,804f,7a69
7cb4,871c,762e
7dbd,888d,7ab8
7d1a,8511,7f0b
7e91,8066,842c
7f31,7afa,8b03
7fa1,757d,88ca
80f3,76f9,80fc
802a,7b9a,7d1f
7d31,7fa1,79e6
7dff,834b,763a
7c05,84ea,7a24
7d84,7efc,810a
7e66,7bca,825a
7ee7,7b59,81f3
8201,7bb6,80a1
8011,7f30,7a3d
7d4c,852b,7739
7e97,8662,7b4b
7d8e,85c0,7fc7
7e25,823c,82f7
7d67,7ca2,8a11
7f37,7600,8923
8167,7785,8204
7ff1,7bbb,7d91
7e36,7f4e,79e8
7c08,83bd,75b1
7bcd,856d,7a75
7dc8,7f2e,8153
7ebf,7bf4,813a
806b,7b12,81ed
80ae,7aa5,80c8
7f68,7e82,7ac5
7d26,8554,777d
7db9,86c4,7b83
7d1f,846e,7f65
7de7,80a9,8425
7f5b,7b44,8a3e
7fb7,7545,898b
8184,7799,8176
80ce,7c77,7d7c
7e7b,7f72,791d
7f1b,83c1,7619
7d80,8494,7a73
7fc6,7e84,80ec
802f,7b8a,817d
7fa0,7af3,81e6
80af,7b80,8156
7f3c,7fd9,7a72
7d62,8729,77ad
7e06,8773,7b81
7b83,84cd,7f8f
7c5d,819b,8349
7eb9,7b66,8b18
80c3,74fb,89c0
81e7,7768,817c
7f98,7cb7,7d1e
7e09,8048,791f
7fcf,846d,753a
7ccb,857d,7a27
7d5b,7ed5,81ab
803c,7b63,8206
8060,79e5,81b7
8284,7abd,817b
7f5a,7e73,79f4
7d03,8585,774f
7ec3,87cd,7b33
7e11,8485,7f03
7c76,8010,83da
7ec5,7b77,8b06
7e52,767e,8998
8102,781d,81b3
7fe6,7bd5,7d96
7de7,7fb9,7866
7d45,8355,75d2
7cee,850a,7a7b
7e45,7ed4,8129
810e,7b05,821f
804a,7a32,8280
80bc,7b34,82df
8018,7f8d,7b9f
7d47,86d6,76e7
7e10,87cc,79ce
7c8a,851c,7d10
7da4,81cb,831f
7e26,7c56,8b0f
7fcc,758b,8b94
81eb,773d,837f
814d,7bcd,7cea
7f18,7f19,7768
7f43,8390,74a0
7cbd,8526,7aaf
7dfc,7ee5,81dc
7f1d,7b34,80f7
7fa0,7a71,81a5
8011,7ad4,8306
7ee4,7f0c,7b0b
7de9,861e,75f3
7ecb,877a,7a0e
7cd3,842d,8094
7dd7,807a,84cd
7f46,7b59,8864
7f6e,7507,88a1
80ff,7753,8375
7f46,7ca1,7ccd
7e8d,8020,77be
7f49,83a6,762c
7d9c,8487,7bce
7e9a,7f33,7ec0
808c,7c1e,81fb
7f54,7b48,8398
8011,7bb0,8042
7edb,7ef3,7a3e
7d48,85de,77bf
7ec9,87f1,7a1b
7c3a,853b,80cb
7c85,815e,82fe
7e66,7c09,896b
7fef,760d,8ae5
821c,7764,80c0
8079,7c1e,7d68
7e6d,7fa7,7a11
7e3a,8245,7488
7c45,844e,7c99
7d7d,7ea8,801f
7ff7,7bbf,82e3
7f4a,7ba8,82fc
80f2,7b24,80a1
81be,7efc,7b28
7dbc,863d,7668
7dae,87ea,7b9e
7bf3,84d2,7eeb
7dc4,812a,84ac
7fc2,7c33,8959
7fee,7577,899d
819e,77a9,8081
7fa2,7bfe,7e08
7e9f,7f51,78c8
7e20,8365,7671
7cb3,84cf,79ce
7e06,7f4e,81d0
7f3c,7bd5,813b
811e,7b29,82ba
81f0,7b47,80da
7f9b,7fa2,7b56
7d22,85f6,774b
7ed8,86cd,7b0e
7d1a,8411,8002
7dba,808f,8328
7dc0,7b02,8a21
7e7c,75fe,890a
8038,77ef,824e
7fc8,7c72,7e4e
7ecc,7ff2,788b
7ed9,8432,75d1
7d13,8605,7ab1
7f41,800c,8114
80ca,7bef,81a7
80e6,7a3f,8168
818d,7b54,8116
7e79,7efc,7a9b
7c26,8609,767c
7d16,8701,7b8e
7d8b,8465,7f92
7c9a,80c7,830e
7e48,7bc5,8af6
7ee7,756c,8a01
809b,76dc,8257
802d,7c4e,7d15
7eb3,806c,791f
7e47,84a4,758e
7d4d,8555,7a89
7db8,800b,812e
8027,7b90,8218
807c,79ec,8305
82c2,7ad0,8133
8034,7e8e,7a57
7d45,85c2,771f
7f38,86de,7b80
7d6a,8553,7ecd
7d36,810f,841d
7dee,7acb,8ab6
7d8e,74fd,89c2
80dd,775d,8262
7ef0,7c2b,7c82
7e13,8084,78d8
7e41,84fd,74e6
7bde,8551,79e0
7f4d,7f0b,8168
7ef1,7b16,8166
8137,7a99,81f6
82ca,7b40,810d
7ff2,7f46,7a9f
7dba,863d,7717
7cf8,8848,7b2f
7ae0,849f,7fbc
7ccc,7ba4,8427
7f05,7585,8a98
7fe5,733b,8a6a
7fb8,7acb,8167
7e55,8326,7c9a
7d6d,86fc,7855
7da7,86f6,753d
7d4b,8307,79f6
7ef4,7913,8178
8019,74e7,8297
8049,7804,8205
8273,7dbf,8233
8086,84d4,7ac4
7d2e,8ccc,77c9
7dc9,8b8b,7b11
7d3c,834b,7f28
7e64,7ad2,8321
7e8b,74fa,8a6b
8088,7222,89da
8132,7a2a,820b
7ff0,8271,7d7c
7e4f,85f8,78ec
7f2e,86da,750e
7c1a,828e,79c1
7fad,785a,8101
80ae,74dc,829c
812c,7767,82e5
8063,7cea,81bf
80ff,854e,7b0c
7d24,8cc4,7709
7cbf,8b06,7b72
7d1e,82e7,7f40
7ce2,7b00,831f
7df6,753a,89ef
7f5b,7200,89d4
8037,7923,824b
7ecd,81bb,7d54
7e81,8590,7930
7fce,862c,7485
7d61,8347,78eb
7dd6,7940,8142
7fb9,752d,81bf
8126,7736,82a0
812b,7c74,81f5
7e8a,856e,7b33
7d0e,8c50,77b7
7eed,8ae9,7b98
7de9,827e,7ee7
7ce2,7ae3,8401
7dfc,753c,89fd
7f75,71aa,8981
8116,794e,818a
7e96,828f,7d23
7dcc,862d,78a2
7ebb,87c4,7584
7d64,836d,7997
7d4f,798d,81fd
7f6a,748b,8201
80a4,76ea,81ec
80e5,7d58,815a
800f,85a4,7b27
7eb0,8d20,77bb
7ecd,8b36,7bcb
7caa,8381,7f07
7cd2,7b5c,8364
7e8e,7579,8a1f
7ff7,723b,88f3
81de,79e5,816d
8175,82be,7d84
7f0c,8564,7956
7df2,869e,7562
7bc5,82d2,79cd
7ea5,7945,8193
81a2,7524,822e
7fc2,7793,826b
80a1,7ccb,809a
7f20,84f3,7a7a
7cfa,8c1a,76fb
7d77,8ac4,7bcc
7d17,83ba,8087
7d8f,7c71,83bc
7e47,7654,8a42
8044,72bc,8919
8069,788a,818b
7f92,80cd,7dd7
7d79,8439,78da
7ecc,8611,74d9
7c38,832e,79ce
7d88,793e,8142
7fdb,7650,8288
7f9f,785b,8274
8199,7cff,8105
8117,839d,7ac1
7dcf,8bff,772a
7e18,8a66,7b8f
7d5c,842b,7e9b
7d5d,7bf7,83eb
7d53,75f4,8a82
7efe,72a0,8a05
8100,78d5,8141
8105,8117,7c6e
7d50,846d,7961
7d41,85a9,7550
7baa,83dd,7931
7cc7,7a93,8103
8081,7697,8252
7ff1,783b,8340
8213,7dbe,8224
80c9,8457,7a28
7f2a,8ba1,76e8
7efb,8af3,7a9a
7c44,837d,7f11
7de3,7cd0,8447
7fd6,76d0,8b10
800f,7154,89e3
8131,7787,81c9
7f5e,8099,7d7a
7ce3,8447,7887
7d35,8583,74e9
7d82,82bb,795d
7f60,79e3,808d
7f3a,7747,8204
802e,794a,8264
82a3,7cee,81d2
81bf,845a,7b46
7e22,8c52,76fb
7b9f,8a53,7ad8
7b9f,8343,7f16
7dc9,7c90,8336
8050,767e,8aac
7f62,7290,8ab3
7fee,7853,82c4
7f3a,80fd,7d7f
7d98,8566,7949
7e0b,8678,754e
7dd6,83de,79b1
7e1e,7a03,8086
7f17,757d,81ef
7ef9,7726,823b
8133,7cbc,823d
8171,8433,7b1e
7e13,8c1f,7779
7cf7,8a9f,7abc
7ccf,8330,7e2f
7dbd,7bd5,82a6
7ef8,75cf,8a61
8093,7304,899d
821f,78db,8286
8058,8032,7ddc
7ddb,84b6,794a
7e01,8612,748f
7c95,832e,7915
7e87,7af1,80fa
8015,767f,8207
7f94,77a6,8209
7fb2,7caa,81d2
7ea4,8486,7bf5
7c7e,8c1d,784b
7ef9,8a0a,7b17
7e3a,8320,7ff7
7ec5,7b6e,838f
7efc,75b4,8973
808f,734e,89eb
8150,7a12,82c1
7f23,81ce,7ce1
7e38,8623,793f
7e8e,86d6,7516
7bff,8380,791e
7d4e,7a32,811d
7f7b,75eb,81a7
7fd9,7835,82e9
8167,7c75,824a
7fcf,8391,7b51
7e19,8b47,7717
7e04,8aae,7b7b
7e2a,8342,7f38
7c37,7ba4,835b
7f90,75a0,8a6c
819c,712a,8926
80a2,78a2,817d
7e51,8035,7ce3
7cb9,84a4,78cc
7e2b,8639,74fa
7dbc,8463,79cd
7f29,7ae8,81c8
81de,76b4,8287
808f,7961,821f
8168,7db7,82a7
7fce,83dd,7ba1
7dee,8c0e,76bf
7e6d,8a72,7b32
7cc2,829f,7f91
7e15,7ae4,837e
7d2b,7569,89fe
7e6c,7240,8945
8162,7938,81ee
7f8b,8128,7d49
7f04,84e1,78ff
7e74,8631,746d
7ca3,8447,78fa
7d61,7adc,8046
7ec7,75f5,81f3
7f51,7755,8260
815b,7ca4,82ec
7fbb,8312,7b78
7dd1,8b21,77d5
7db2,8b28,7b54
7c5b,837e,7f69
7d0c,7c2b,83c5
7f73,7659,8981
8052,737e,89fb
8240,78b5,8147
809b,8145,7cfa
7e53,85ca,7926
7e9f,862e,74e0
7d72,836e,7962
7f3c,790f,8031
7ecf,75ff,81f0
7e48,7882,83e0
81f7,7db3,8265
8156,8469,7b36
7dc4,8b99,7718
7e88,8a65,7a95
7c30,8282,7eaf
7c62,7bf7,8351
7ce3,7695,8ab1
7e42,73cc,89d6
8121,78c4,81f5
7ece,814d,7cf3
7f07,8526,77f7
7fb3,8652,747f
7df2,832f,7a12
7efb,7a91,80bd
7fc1,76ac,8317
81e7,78e4,82a3
821b,7c50,8215
7f7c,8326,7b12
7d6f,8b32,76a6
7dc3,8a94,7b63
7d2d,82a2,7eeb
7d3a,7bac,82da
7dd0,7665,8a52
